trade_date,cash,positions_count,portfolio_value,turnover,benchmark_value,equal_weight_value
20210104,1000000.0,0,1000000.0,0.0,1518483.0142474652,2374060.047008725
20210105,1517.1751494199852,29,1039969.758841017,0.9598196114395123,1547536.0199237475,2426967.6600703346
20210106,1517.1751494199852,29,1048725.3058309972,0.0,1561707.7875308346,2463109.5754958177
20210107,1517.1751494199852,29,1085643.6179967732,0.0,1589377.7985557034,2523683.1185938283
20210108,1517.1751494199852,29,1071080.8119783644,0.0,1584123.8774861083,2513258.522620006
20210111,1517.1751494199852,29,1050050.7779961794,0.0,1568479.2351324975,2483728.6836970407
20210112,1517.1751494199852,29,1088028.407468204,0.0,1613215.827360112,2565548.2195149935
20210113,1517.1751494199852,29,1067497.895363645,0.0,1607917.1680263695,2543115.20520686
20210114,89678.99216785701,27,1037513.8690772041,0.08508471953872888,1576924.7355383416,2488756.019027883
20210115,89678.99216785701,27,1034066.132158184,0.0,1573357.4643228196,2490624.110182912
20210118,89678.99216785701,27,1046184.3109159811,0.0,1590779.8184998601,2525564.610728826
20210119,114269.42513631558,26,1026409.7768043742,0.023988900631777246,1567431.431547775,2487804.2237678464
20210120,114269.42513631558,26,1045157.6566839068,0.0,1578647.7640582358,2507256.196208012
20210121,114269.42513631558,26,1073303.8629315838,0.0,1604169.243008392,2557382.3201958314
20210122,114269.42513631558,26,1091519.5606903469,0.0,1605554.8320179072,2563383.413238994
20210125,114269.42513631558,26,1111538.9206842273,0.0,1621739.9368164262,2602356.2901675715
20210126,114269.42513631558,26,1082995.4661614143,0.0,1589179.1860299467,2550040.0321968063
20210127,114269.42513631558,26,1098831.54205189,0.0,1593513.378326421,2570325.632528105
20210128,137741.2793045229,25,1061716.379382883,0.022136238786628664,1550025.9695245943,2498249.492819029
20210129,199904.68757670178,23,1054945.8987415037,0.05900238672911831,1542768.079778933,2486867.098735367
20210201,382357.4552597632,18,1062752.5919314644,0.17190291175444045,1561702.2240740173,2522752.392713519
20210202,159.32150763423124,27,1091021.4288112705,0.3502071532323803,1585755.6999056404,2578357.117852851
20210203,159.32150763423124,27,1095790.4680612946,0.0,1581175.0147633387,2576694.1690135296
20210204,159.32150763423124,27,1095274.8491978333,0.0,1577931.1158720464,2567398.0065013194
20210205,159.32150763423124,27,1096413.3606594598,0.0,1580659.9482016226,2589089.1186267515
20210208,159.32150763423124,27,1120928.731465297,0.0,1604051.7762388047,2636869.873565551
20210209,39380.26081560899,26,1143627.4155281244,0.034339849120010306,1639129.9191696024,2689628.2056751414
20210210,82502.35939033795,25,1180041.3769224,0.03659043752067068,1674144.7885889292,2752756.55331429
20210218,82502.35939033795,25,1158727.3669759163,0.0,1662805.2240686556,2721994.95041019
20210219,82502.35939033795,25,1146865.3113914784,0.0,1665820.6176636235,2712940.412039313
20210222,82502.35939033795,25,1093397.6366084013,0.0,1613498.3817835473,2605089.8255531956
20210223,198672.500444937,22,1086282.1425069661,0.10708208693610233,1608406.3486594749,2597802.2073023594
20210224,268793.4475432389,20,1053619.0446686482,0.06663909820486161,1567444.3745120803,2520427.760541543
20210225,511733.8131070179,13,1068167.5826124146,0.22773261714957913,1576665.9050784328,2545846.669679546
20210226,511733.8131070179,13,1050561.6072060955,0.0,1538385.430638366,2477520.8137660916
20210301,634854.6403700857,10,1060268.5349704537,0.11627346150283709,1562029.487935399,2517131.9765275912
20210302,634854.6403700857,10,1054739.3591075717,0.0,1542095.1321136507,2485850.5519967033
20210303,634854.6403700857,10,1069821.53534995,0.0,1571665.7410573482,2533233.030032354
20210304,634854.6403700857,10,1053504.334956206,0.0,1522226.874771084,2437069.4127709097
20210305,675698.4378178718,9,1047655.7006937275,0.03903664483785627,1517064.1021494486,2420391.8301792885
20210308,675698.4378178718,9,1037631.059624111,0.0,1464378.1084373654,2323718.268959683
20210309,582.7447029210452,18,1019817.3860283708,0.6617981105201811,1432950.2850075332,2266260.46644772
20210310,265430.91282119637,12,1020319.700691762,0.2599115931340589,1442351.2875020949,2303214.860185544
20210311,265430.91282119637,12,1029968.1557273287,0.0,1478269.743021912,2357215.171880653
20210312,265430.91282119637,12,1037852.8631497754,0.0,1483505.4459323953,2375615.8357773107
20210315,265430.91282119637,12,1039207.9498437827,0.0,1451556.0700455932,2312284.1577976146
20210316,265430.91282119637,12,1050872.7478869485,0.0,1464187.2213335102,2338772.4415325164
20210317,265430.91282119637,12,1044290.7331880437,0.0,1470383.6150489142,2352363.0382321225
20210318,265430.91282119637,12,1040911.3729988884,0.0,1482176.413929489,2378825.0863243532
20210319,265430.91282119637,12,1018454.868922987,0.0,1443354.0357344577,2299664.020848045
20210322,313686.8153174867,11,1030566.1142430298,0.04688560603766598,1457784.8067586604,2324038.3266084483
20210323,379279.1501999131,10,1027008.5690180148,0.06395050430388512,1443975.2980211216,2296035.9658130663
20210324,379279.1501999131,10,1022275.5162063254,0.0,1420752.7374369507,2259529.6266479054
20210325,379279.1501999131,10,1019449.9831582438,0.0,1420078.665549824,2260353.8540943447
20210326,379279.1501999131,10,1021079.0390175842,0.0,1452261.1012727285,2319835.865280265
20210329,379279.1501999131,10,1026106.2066586956,0.0,1454823.0010715853,2320635.1325998427
20210330,379279.1501999131,10,1030116.2201070557,0.0,1468616.8571819123,2351839.756649962
20210331,379279.1501999131,10,1030734.2102110615,0.0,1455250.6089390859,2323480.920797214
20210401,379279.1501999131,10,1030637.573143823,0.0,1473242.7994599813,2362778.234447998
20210402,379279.1501999131,10,1027967.1830540136,0.0,1487880.773217876,2390891.4084916497
20210406,379279.1501999131,10,1024887.4830755225,0.0,1481765.2658228315,2375732.1058050925
20210407,6450.469834678806,12,1022235.7579497609,0.4329599283002674,1471215.164472791,2356308.8011434865
20210408,6450.469834678806,12,1031046.1574723291,0.0,1473655.533007701,2363379.761899816
20210409,6450.469834678806,12,1015265.6177887762,0.0,1451496.486287866,2318651.483332096
20210412,6450.469834678806,12,1012322.4230418187,0.0,1426247.1843287395,2274540.8935763603
20210413,6450.469834678806,12,1010077.5310246423,0.0,1423911.656687324,2274516.6558891158
20210414,117106.44852188836,10,1011482.0872613488,0.1095422450945548,1435725.815782933,2294738.8099485035
20210415,117106.44852188836,10,1009971.8939838297,0.0,1426601.2277309669,2281352.806958371
20210416,117106.44852188836,10,1006528.6510523943,0.0,1431561.3521586873,2284059.3887115773
20210419,117106.44852188836,10,1020012.6021893232,0.0,1466393.607593882,2345150.962221969
20210420,117106.44852188836,10,1019017.5989859778,0.0,1465341.1341645771,2343674.7244694484
