trade_date,cash,positions_count,portfolio_value,turnover,benchmark_value,equal_weight_value
20210104,1000000.0,0,1000000.0,0.0,1518483.0142474652,2374060.047008725
20210105,23447.236034199996,28,1041629.2360342001,0.9372431689004034,1547536.0199237475,2426967.6600703346
20210106,23447.236034199996,28,1049233.2360342,0.0,1561707.7875308346,2463109.5754958177
20210107,23447.236034199996,28,1086676.2360342,0.0,1589377.7985557034,2523683.1185938283
20210108,23447.236034199996,28,1070710.2360342,0.0,1584123.8774861083,2513258.522620006
20210111,23447.236034199996,28,1048232.2360342001,0.0,1568479.2351324975,2483728.6836970407
20210112,23447.236034199996,28,1088131.2360342,0.0,1613215.827360112,2565548.2195149935
20210113,23447.236034199996,28,1068212.2360342,0.0,1607917.1680263695,2543115.20520686
20210114,101646.2749552,26,1037753.2749552,0.07545226007923729,1576924.7355383416,2488756.019027883
20210115,165135.82909780002,24,1031020.8290978,0.06165947011529261,1573357.4643228196,2490624.110182912
20210118,165135.82909780002,24,1040762.8290978,0.0,1590779.8184998601,2525564.610728826
20210119,165135.82909780002,24,1021801.8290978,0.0,1567431.431547775,2487804.2237678464
20210120,165135.82909780002,24,1035432.8290978,0.0,1578647.7640582358,2507256.196208012
20210121,165135.82909780002,24,1065259.8290978,0.0,1604169.243008392,2557382.3201958314
20210122,165135.82909780002,24,1080653.8290978,0.0,1605554.8320179072,2563383.413238994
20210125,165135.82909780002,24,1101443.8290978,0.0,1621739.9368164262,2602356.2901675715
20210126,165135.82909780002,24,1074494.8290978,0.0,1589179.1860299467,2550040.0321968063
20210127,165135.82909780002,24,1087415.8290978,0.0,1593513.378326421,2570325.632528105
20210128,200702.71645795,23,1052000.71645795,0.03385281392194139,1550025.9695245943,2498249.492819029
20210129,304244.07348115,20,1047592.07348115,0.09896613254764715,1542768.079778933,2486867.098735367
20210201,401426.89236385,17,1057262.89236385,0.09203890697651729,1561702.2240740173,2522752.392713519
20210202,401426.89236385,17,1077552.89236385,0.0,1585755.6999056404,2578357.117852851
20210203,401426.89236385,17,1076175.89236385,0.0,1581175.0147633387,2576694.1690135296
20210204,401426.89236385,17,1075030.89236385,0.0,1577931.1158720464,2567398.0065013194
20210205,401426.89236385,17,1081973.89236385,0.0,1580659.9482016226,2589089.1186267515
20210208,401426.89236385,17,1096714.89236385,0.0,1604051.7762388047,2636869.873565551
20210209,401426.89236385,17,1115513.89236385,0.0,1639129.9191696024,2689628.2056751414
20210210,448182.61080985004,16,1144506.61080985,0.04090546927192732,1674144.7885889292,2752756.55331429
20210218,448182.61080985004,16,1123234.61080985,0.0,1662805.2240686556,2721994.95041019
20210219,448182.61080985004,16,1118723.61080985,0.0,1665820.6176636235,2712940.412039313
20210222,448182.61080985004,16,1078342.61080985,0.0,1613498.3817835473,2605089.8255531956
20210223,567177.1120957001,13,1072667.1120957,0.11107769983477396,1608406.3486594749,2597802.2073023594
20210224,643509.5158012001,11,1052831.5158012002,0.07259638779129418,1567444.3745120803,2520427.760541543
20210225,843174.6008174501,5,1059652.60081745,0.18867031265319545,1576665.9050784328,2545846.669679546
20210226,843174.6008174501,5,1052008.60081745,0.0,1538385.430638366,2477520.8137660916
20210301,930861.5369167001,3,1055400.5369167,0.08319218574258687,1562029.487935399,2517131.9765275912
20210302,930861.5369167001,3,1051667.5369167002,0.0,1542095.1321136507,2485850.5519967033
20210303,930861.5369167001,3,1057179.5369167002,0.0,1571665.7410573482,2533233.030032354
20210304,930861.5369167001,3,1050269.5369167002,0.0,1522226.874771084,2437069.4127709097
20210305,976076.0335591001,2,1046039.0335591001,0.04328074818198656,1517064.1021494486,2420391.8301792885
20210308,976076.0335591001,2,1044398.0335591001,0.0,1464378.1084373654,2323718.268959683
20210309,976076.0335591001,2,1041524.0335591001,0.0,1432950.2850075332,2266260.46644772
20210310,1042406.4667516,0,1042406.4667516,0.06371485319634607,1442351.2875020949,2303214.860185544
20210311,1042406.4667516,0,1042406.4667516,0.0,1478269.743021912,2357215.171880653
20210312,1042406.4667516,0,1042406.4667516,0.0,1483505.4459323953,2375615.8357773107
20210315,1042406.4667516,0,1042406.4667516,0.0,1451556.0700455932,2312284.1577976146
20210316,1042406.4667516,0,1042406.4667516,0.0,1464187.2213335102,2338772.4415325164
20210317,1042406.4667516,0,1042406.4667516,0.0,1470383.6150489142,2352363.0382321225
20210318,1042406.4667516,0,1042406.4667516,0.0,1482176.413929489,2378825.0863243532
20210319,1042406.4667516,0,1042406.4667516,0.0,1443354.0357344577,2299664.020848045
20210322,1042406.4667516,0,1042406.4667516,0.0,1457784.8067586604,2324038.3266084483
20210323,1042406.4667516,0,1042406.4667516,0.0,1443975.2980211216,2296035.9658130663
20210324,1042406.4667516,0,1042406.4667516,0.0,1420752.7374369507,2259529.6266479054
20210325,1042406.4667516,0,1042406.4667516,0.0,1420078.665549824,2260353.8540943447
20210326,1042406.4667516,0,1042406.4667516,0.0,1452261.1012727285,2319835.865280265
20210329,1042406.4667516,0,1042406.4667516,0.0,1454823.0010715853,2320635.1325998427
20210330,1042406.4667516,0,1042406.4667516,0.0,1468616.8571819123,2351839.756649962
20210331,1042406.4667516,0,1042406.4667516,0.0,1455250.6089390859,2323480.920797214
20210401,1042406.4667516,0,1042406.4667516,0.0,1473242.7994599813,2362778.234447998
20210402,1042406.4667516,0,1042406.4667516,0.0,1487880.773217876,2390891.4084916497
20210406,1042406.4667516,0,1042406.4667516,0.0,1481765.2658228315,2375732.1058050925
20210407,35866.72789134999,9,1039276.7278913499,0.9682097563577848,1471215.164472791,2356308.8011434865
20210408,35866.72789134999,9,1044027.7278913499,0.0,1473655.533007701,2363379.761899816
20210409,35866.72789134999,9,1027233.7278913499,0.0,1451496.486287866,2318651.483332096
20210412,35866.72789134999,9,1020948.7278913499,0.0,1426247.1843287395,2274540.8935763603
20210413,35866.72789134999,9,1016544.7278913499,0.0,1423911.656687324,2274516.6558891158
20210414,248703.07048434997,7,1018114.07048435,0.20932172158136958,1435725.815782933,2294738.8099485035
20210415,248703.07048434997,7,1016678.07048435,0.0,1426601.2277309669,2281352.806958371
20210416,248703.07048434997,7,1015366.07048435,0.0,1431561.3521586873,2284059.3887115773
20210419,248703.07048434997,7,1025437.07048435,0.0,1466393.607593882,2345150.962221969
20210420,248703.07048434997,7,1023181.07048435,0.0,1465341.1341645771,2343674.7244694484
20210421,248703.07048434997,7,1030526.07048435,0.0,1469774.4597667232,2358037.853696581
20210422,248703.07048434997,7,1025651.07048435,0.0,1467035.567092954,2350459.518342283
20210423,248703.07048434997,7,1034377.07048435,0.0,1480356.1258069966,2383472.513259015
20210426,362465.00396289997,6,1023863.0039629,0.11125513477790196,1463574.6069071842,2358165.2114184126
20210427,362465.00396289997,6,1030424.0039629,0.0,1467403.3894193198,2371293.9725895743
20210428,467575.53240789997,5,1036744.5324079,0.10151714979924405,1475683.0238638858,2388276.5793549707
20210429,467575.53240789997,5,1036592.5324079,0.0,1488633.8000698863,2411463.273266945
20210430,467575.53240789997,5,1034576.5324079,0.0,1476907.2437994983,2396343.323114808
20210506,467575.53240789997,5,1026637.5324079,0.0,1458929.8987721824,2358947.812422928
20210507,467575.53240789997,5,1019997.5324079,0.0,1440172.1996541894,2322286.6068841848
20210510,576005.07801415,4,1019179.07801415,0.10652758660582771,1439125.6067699138,2325539.5629768646
20210511,576005.07801415,4,1033054.07801415,0.0,1447957.2341398385,2339109.6842884393
20210512,576005.07801415,4,1039145.07801415,0.0,1454151.5811949624,2344770.710776415
20210513,576005.07801415,4,1041154.07801415,0.0,1439284.669747726,2318148.548840582
20210514,576005.07801415,4,1050577.07801415,0.0,1473188.9809424796,2372710.0521575664
20210517,576005.07801415,4,1027555.07801415,0.0,1494634.290922439,2417937.6858791127
20210518,576005.07801415,4,1023369.07801415,0.0,1495388.3843438907,2416376.4076092187
20210519,576005.07801415,4,1020087.07801415,0.0,1490969.5294947093,2411082.260817809
20210520,576005.07801415,4,1024468.07801415,0.0,1495045.5543339013,2421039.2681554304
20210521,576005.07801415,4,1010985.07801415,0.0,1479979.9150561034,2395398.3259308697
20210524,576005.07801415,4,1005992.07801415,0.0,1486160.021967871,2396490.09260907
20210525,660696.41396275,3,1013988.41396275,0.08363170311639802,1533115.1651127327,2473911.013091744
20210526,660696.41396275,3,1010420.41396275,0.0,1533724.7527879404,2464659.359254809
20210527,660696.41396275,3,1008684.41396275,0.0,1538809.752318938,2465511.1429714123
20210528,660696.41396275,3,1010310.41396275,0.0,1533867.7019193235,2453224.2745844084
20210531,660696.41396275,3,1013729.41396275,0.0,1536888.9760593208,2463995.155475156
20210601,660696.41396275,3,1013329.41396275,0.0,1539803.362645544,2475116.848162334
20210602,660696.41396275,3,1011268.41396275,0.0,1524898.4294390231,2448080.847056415
20210603,660696.41396275,3,1015848.41396275,0.0,1514899.1679662957,2426638.6784550846
20210604,660696.41396275,3,1018981.41396275,0.0,1522679.8496955752,2435353.02417051
20210607,660696.41396275,3,1023744.41396275,0.0,1521339.402517023,2435439.6670676535
20210608,660696.41396275,3,1012235.41396275,0.0,1508220.4254274536,2410042.328016591
20210609,660696.41396275,3,1013405.41396275,0.0,1509469.4070698333,2418756.8892808002
20210610,660696.41396275,3,1019809.41396275,0.0,1519563.4202656609,2443607.3031807593
20210611,660696.41396275,3,1013655.41396275,0.0,1506083.3950069908,2429198.372504555
20210615,778092.79600795,2,1015907.79600795,0.1157085283348688,1489322.8904077988,2400473.5821412904
20210616,778092.79600795,2,1016116.79600795,0.0,1464512.5250132151,2352181.731835108
20210617,778092.79600795,2,1019354.79600795,0.0,1470681.7644471587,2363596.884588642
20210618,778092.79600795,2,1015460.79600795,0.0,1470847.025058213,2361104.142220752
