metric,sample_in,historical_validation
annual_return,0.037680747434860606,-0.021486898271187438
annual_volatility,0.11946216936331429,0.1398978498110241
average_exposure,0.47202826396551906,0.4143601378478975
average_holding_days,47.166666666666664,39.73829201101928
average_loss,-0.058754885829430406,-0.06156757408976653
average_positions,9.795566502463053,7.797029702970297
average_win,0.1310228639043946,0.11144242383769344
beats_benchmark_annual_return,0.0,1.0
beats_benchmark_total_return,0.0,1.0
benchmark_annual_return,0.08784081912570496,-0.026476095856458937
benchmark_max_drawdown,-0.32461968881054826,-0.4560262048486471
benchmark_total_return,0.5022165042569666,-0.12107303160357041
calmar_ratio,0.12265567733580646,-0.053383608927719435
excess_annual_return,-0.050160071690844354,0.004989197585271499
excess_total_return,-0.3064634398423147,0.02187650989372103
executed_trade_count,767.0,740.0
final_value,1195753.0644146518,900803.4782901506
information_ratio,-0.3959597761177678,-0.010999326710482888
low_exposure_day_ratio,0.2832512315270936,0.30363036303630364
max_drawdown,-0.3072075280437149,-0.40249991903470517
max_drawdown_gap,0.017412160766833384,0.05352628581394192
median_exposure,0.4260945596703742,0.33977870586712666
payoff_ratio,2.2299909540248835,1.8100830751461567
positive_day_ratio,0.4691865242399343,0.3963666391412056
profit_factor,1.20215702149055,0.8022419953168162
sell_trade_count,378.0,363.0
sharpe_ratio,0.06429439106786632,-0.36803209156349886
top_symbol_trade_value_share,0.03721665103583529,0.03462391669936996
total_commission,11576.74345235,9552.531482849998
total_return,0.1957530644146519,-0.09919652170984938
total_slippage_cost,19294.038499997878,15919.184999998271
total_stamp_tax,19151.153633,15473.805227
total_transaction_cost,50021.93558534788,40945.52170984827
trade_win_rate,0.3835978835978836,0.34710743801652894
transaction_cost_to_trade_value,0.001296300999466527,0.001286025600396331
turnover,35.72252526836937,38.187312528346126
unique_symbols_traded,87.0,89.0
zero_position_day_ratio,0.09688013136288999,0.1485148514851485
